models,CV ROC_AUC,Test ROC_AUC,precision,recall,Training Time (s),Prediction Time (s)
Logistic Regression,0.9838602304105987,0.9660634502268745,0.05366269165247019,0.8873239436619719,15.753251552581787,0.059360504150390625
Random Forest,0.9819418700093149,0.9688568653021499,0.8699186991869918,0.7535211267605634,1082.5160179138184,0.5654740333557129
HistGradientBoosting,0.9831966368848486,0.9744043305682334,0.10049423393739704,0.8591549295774648,51.915311098098755,0.2573375701904297
